user_id,partner_id,nb_clicks_1week,product_price,product_age_group,device_type,audience_id,product_gender,click_timestamp,product_id,product_country,product_brand,product_title,product_category6,product_category5,Sales
3339074,169,1190,0.0,4,7,0,13,1600442298,238839,8,4466,242030,0,575,0
6095487,208,1417,0.0,0,3,0,0,1601434518,1339827,10,30796,674749,0,0,0
10177976,266,1089,0.0,0,7,0,0,1603160017,142746,23,8072,120829,0,0,0
8985659,139,-1,0.0,0,7,0,0,1600729940,0,0,0,0,0,0,0
6606357,287,-1,0.0,0,7,0,0,1603101878,0,0,0,0,0,0,0
12727015,215,0,0.0,0,3,0,0,1603147041,223689,4,8845,129677,157,254,0
8095249,277,-1,0.0,0,7,0,0,1601337069,786428,8,0,0,0,0,0
8596545,154,18,0.0,0,3,15536,0,1598906479,1266603,13,23014,53118,0,0,0
8901258,208,140,0.0,0,3,0,0,1603172604,960365,10,8366,271782,0,0,0
13221120,245,-1,0.0,0,3,0,0,1603349988,0,0,0,0,0,0,0
6668732,140,72,0.0,4,3,0,13,1603095639,1566766,4,39898,363237,0,0,0
5181584,132,1353,0.0,4,3,1750,13,1597109450,1124000,10,41405,587842,0,0,0
876792,249,384,0.0,6,3,9444,13,1603277824,808650,4,33281,86139,0,0,0
8009725,266,141,0.0,0,7,0,0,1603097796,963668,23,23152,753712,0,0,0
12757724,311,-1,0.0,0,7,0,0,1603150882,711183,4,0,0,0,0,0
2678754,277,-1,0.0,0,3,0,0,1598757099,1432305,8,0,0,0,0,0
7111724,198,-1,0.0,0,3,0,0,1600473692,456978,8,0,0,0,0,0
7894125,277,45,0.0,0,8,0,0,1598914419,99775,8,0,679189,0,0,0
1658638,225,-1,0.0,0,7,7863,0,1597433265,0,0,0,0,0,0,0
11682220,249,1271,0.0,4,7,0,13,1603151684,288203,4,15631,112276,0,0,0
2810265,132,3200,0.0,4,7,0,13,1597117673,1189922,10,8072,120051,0,0,0
8559531,267,41,0.0,0,7,11766,0,1603765132,114703,10,2934,729098,0,142,0
4336340,277,-1,0.0,0,3,0,0,1600694647,131555,8,0,0,0,0,0
5239109,185,57,0.0,5,7,0,16,1600469862,715327,19,24458,359782,0,0,0
68771,96,188,0.0,0,3,0,0,1604195313,1304572,10,19561,439425,0,0,0
1094413,154,228,0.0,0,3,14790,0,1597449631,170526,13,23014,537,0,0,0
7659632,75,73,0.0,0,7,17930,0,1603312919,1521429,10,46974,127856,0,503,0
10419231,292,121,0.0,7,3,6057,13,1597440117,885838,19,13969,424710,0,0,0
13292696,266,494,0.0,0,3,0,0,1604151267,82296,23,47974,414272,0,0,0
9326618,292,373,0.0,7,3,0,13,1598719912,1321972,19,41648,591243,0,0,0
4407924,54,-1,0.0,0,7,0,0,1603171244,0,0,0,0,0,0,0
5282299,90,-1,0.0,0,7,0,0,1603176541,1317969,4,20153,789639,0,0,0
1863395,59,-1,0.0,0,3,0,0,1600735160,1619095,13,38192,623211,0,0,0
2136334,130,42,0.0,0,7,0,0,1597095394,1058398,10,38885,317617,0,0,0
3175776,169,-1,0.0,0,3,0,0,1598917671,0,0,0,0,0,0,0
5698988,277,-1,0.0,0,3,0,0,1597412508,545921,8,0,0,0,0,0
9241548,266,115,0.0,0,3,0,0,1604185809,158904,23,5437,84662,0,0,0
4753717,151,-1,0.0,0,3,0,0,1600716484,1228135,8,0,0,0,0,0
6319930,277,39,0.0,0,7,0,0,1603303536,1108201,8,3801,66382,0,0,0
2229156,266,39,0.0,0,3,2035,0,1601366150,837731,23,1926,597266,0,793,0
9263944,245,-1,0.0,0,7,0,0,1598913450,0,0,0,0,0,0,0
12406752,247,19,0.0,4,7,0,14,1603099487,1161692,10,37382,243740,0,0,0
7131143,102,5,0.0,6,3,0,2,1597048248,229758,10,0,38636,0,0,0
9593953,20,9,0.0,11,3,0,15,1600699964,745612,8,21007,312203,0,0,0
6318772,132,1181,0.0,4,3,0,13,1598010824,1500437,10,8072,120118,0,0,0
