click_timestamp,nb_clicks_1week,product_price,audience_id,product_brand,product_category3,product_category4,product_category5,product_category6,product_country,product_id,partner_id,Sales
1598896824,-1,0.0,0,0,0,0,0,0,8,321736,277,0
1600742012,-1,0.0,0,0,0,0,0,0,8,291624,277,0
1600487010,3,0.0,13944,36641,0,0,0,0,19,637370,191,0
1600437092,467,0.0,12362,7102,12,343,0,0,8,1231943,277,0
1597123143,-1,0.0,0,0,0,0,0,0,0,0,287,0
1598058550,-1,0.0,0,0,0,0,0,0,4,886776,224,0
1600725572,-1,0.0,0,0,0,0,0,0,0,0,283,0
1604211337,2275,0.0,12930,8072,902,983,0,0,23,1009888,266,0
1598032493,-1,0.0,15899,0,0,0,0,0,0,0,280,0
1600725849,130,0.0,0,1758,12,1146,0,0,8,1595298,308,0
1598831904,-1,0.0,0,0,0,0,0,0,8,786798,277,0
1598750345,16,0.0,0,0,566,727,0,0,8,1330679,277,0
1601371966,-1,0.0,0,0,0,0,0,0,4,1550047,30,0
1601298797,29,0.0,0,3801,0,0,0,0,8,551874,277,0
1600729628,-1,0.0,0,0,0,0,0,0,8,420151,138,0
1601423761,373,0.0,0,36521,289,81,307,0,23,1161599,266,0
1598040546,1,0.0,0,51571,114,1190,781,0,10,966914,165,0
1600464900,195,0.0,0,50827,100,0,0,0,8,1254319,78,0
1598727165,-1,0.0,0,0,0,0,0,0,8,767043,277,0
1601304180,-1,0.0,0,0,0,0,0,0,0,0,139,0
1601341701,16,0.0,9495,13969,997,0,0,0,19,599288,292,0
1597124995,8708,0.0,0,8072,902,983,0,0,10,1540452,132,0
1598753969,33,0.0,0,11297,999,323,526,0,19,545748,203,0
1600459360,1404,0.0,3796,47974,821,0,0,0,8,622281,277,0
1603342278,-1,0.0,0,0,0,0,0,0,0,0,45,0
1603143877,-1,0.0,0,25649,0,0,0,0,10,408705,102,0
1603859913,11,0.0,12522,39789,1019,0,0,0,22,521585,88,0
1603699412,-1,0.0,0,0,0,0,0,0,0,0,287,0
1598911473,1,0.0,0,6512,0,0,0,0,19,1040220,123,0
1597461152,-1,0.0,0,0,0,0,0,0,8,1203302,277,0
1603323983,9,0.0,0,34848,413,0,0,0,10,755162,247,0
1603335844,6,0.0,0,1345,957,0,0,0,4,231897,54,0
1598836952,-1,0.0,0,0,0,0,0,0,0,0,198,0
1603734101,95,0.0,0,38361,720,0,0,0,10,1313577,96,0
1597437676,-1,0.0,16888,0,0,0,0,0,8,240431,277,0
1598912790,-1,0.0,0,0,0,0,0,0,0,0,2,0
1600486990,-1,0.0,0,0,0,0,0,0,8,1079118,277,0
1603756361,-1,0.0,13731,0,0,0,0,0,0,0,175,0
1604130818,1,0.0,0,34720,773,48,0,0,4,1550992,110,0
1598754966,-1,0.0,0,0,0,0,0,0,8,1467475,277,0
1597111082,-1,0.0,0,8072,821,0,0,0,10,1537314,229,0
1604197293,16,0.0,0,26224,182,0,0,0,4,51597,194,0
1603096033,-1,0.0,0,0,0,0,0,0,0,0,175,0
1603347005,24,0.0,0,14355,574,0,0,0,4,1011251,204,0
1601350494,-1,0.0,6269,0,0,0,0,0,0,0,226,0
1600440092,8,0.0,0,46138,45,0,0,0,19,909261,73,0
1603318206,-1,0.0,3181,0,0,0,0,0,0,0,75,0
1600711827,-1,0.0,0,0,0,0,0,0,8,1452021,277,0
1598077640,4,0.0,1406,88,53,0,0,0,23,1375467,266,0
1598849641,-1,0.0,0,0,0,0,0,0,8,1111206,277,0
1603162147,-1,0.0,0,0,0,0,0,0,10,1035303,96,0
1598923750,-1,0.0,0,0,0,0,0,0,8,1353254,277,0
